Bellman-Ford,Inc,1000,0.2,0.017975172002479667
Dijkstra,Inc,1000,0.2,0.0008170500004780479
Bellman-Ford,Dec,1000,0.2,0.01784748299905914
Dijkstra,Dec,1000,0.2,0.0007868239990784787
Dynamic,Inc,1000,0.2,0.008867445998475887
Dynamic,Dec,1000,0.2,0.009556155000609579
Bellman-Ford,Mixed,1000,0.2,0.019343493000633316
Dijkstra,Mixed,1000,0.2,0.0009221770014846697
Dynamic,Mixed,1000,0.2,0.007248132998938672
Bellman-Ford,Inc,1000,0.3,0.017237970998394303
Dijkstra,Inc,1000,0.3,0.0009452800004510209
Bellman-Ford,Dec,1000,0.3,0.01673218400173937
Dijkstra,Dec,1000,0.3,0.0008515540030202828
Dynamic,Inc,1000,0.3,0.007848458000808023
Dynamic,Dec,1000,0.3,0.01772472199809272
Bellman-Ford,Mixed,1000,0.3,0.018987166000442812
Dijkstra,Mixed,1000,0.3,0.0008434400006080978
Dynamic,Mixed,1000,0.3,0.01573059799920884
Bellman-Ford,Inc,1000,0.4,0.015361746998678427
Dijkstra,Inc,1000,0.4,0.0006715080016874708
Bellman-Ford,Dec,1000,0.4,0.015354613999079447
Dijkstra,Dec,1000,0.4,0.0006990789988776669
Dynamic,Inc,1000,0.4,0.006673838001006516
Dynamic,Dec,1000,0.4,0.015413814999192255
Bellman-Ford,Mixed,1000,0.4,0.018630427999596577
Dijkstra,Mixed,1000,0.4,0.0009176880012091715
Dynamic,Mixed,1000,0.4,0.010078143001010176
Bellman-Ford,Inc,1000,0.5,0.013170092999644112
Dijkstra,Inc,1000,0.5,0.0007596220020786859
Bellman-Ford,Dec,1000,0.5,0.012895938998553902
Dijkstra,Dec,1000,0.5,0.0005968679979559965
Dynamic,Inc,1000,0.5,0.004952775001584087
Dynamic,Dec,1000,0.5,0.011832659001811408
Bellman-Ford,Mixed,1000,0.5,0.017390106000675587
Dijkstra,Mixed,1000,0.5,0.000770261998695787
Dynamic,Mixed,1000,0.5,0.013829858999088174
Bellman-Ford,Inc,5000,0.1,0.02432695600145962
Dijkstra,Inc,5000,0.1,0.00037220699960016645
Bellman-Ford,Dec,5000,0.1,0.17932714999915333
Dijkstra,Dec,5000,0.1,0.002772231000562897
Dynamic,Inc,5000,0.1,0.003958231998694828
Dynamic,Dec,5000,0.1,0.02863534499920206
Bellman-Ford,Mixed,5000,0.1,0.2111184739987948
Dijkstra,Mixed,5000,0.1,0.0035181380007998087
Dynamic,Mixed,5000,0.1,0.03268409399970551
Bellman-Ford,Inc,5000,0.2,0.14030876000106218
Dijkstra,Inc,5000,0.2,0.0018602630007080734
Bellman-Ford,Dec,5000,0.2,0.026012622998678125
Dijkstra,Dec,5000,0.2,0.00039905699668452144
Dynamic,Inc,5000,0.2,0.0040784980010357685
Dynamic,Dec,5000,0.2,0.03619104400058859
Bellman-Ford,Mixed,5000,0.2,0.03672985299999709
Dijkstra,Mixed,5000,0.2,0.0004933839991281275
Dynamic,Mixed,5000,0.2,0.023763881999911973
Bellman-Ford,Inc,5000,0.3,0.025173671998345526
Dijkstra,Inc,5000,0.3,0.00038732599932700396
Bellman-Ford,Dec,5000,0.3,0.029253272001369623
Dijkstra,Dec,5000,0.3,0.0003991570010839496
Dynamic,Inc,5000,0.3,0.0036837890002061613
Dynamic,Dec,5000,0.3,0.030075209997448837
Bellman-Ford,Mixed,5000,0.3,0.18798277799942298
Dijkstra,Mixed,5000,0.3,0.0027484470010676887
Dynamic,Mixed,5000,0.3,0.0025265009971917607
Bellman-Ford,Inc,5000,0.4,0.026062486998853274
Dijkstra,Inc,5000,0.4,0.00039255500087165274
Bellman-Ford,Dec,5000,0.4,0.024914145997172454
Dijkstra,Dec,5000,0.4,0.0003672880011436064
Dynamic,Inc,5000,0.4,0.003492430001642788
Dynamic,Dec,5000,0.4,0.0028968549995624926
Bellman-Ford,Mixed,5000,0.4,0.029312050999578787
Dijkstra,Mixed,5000,0.4,0.00046265699711511843
Dynamic,Mixed,5000,0.4,0.0031000460003269836
Bellman-Ford,Inc,5000,0.5,0.025984741001593648
Dijkstra,Inc,5000,0.5,0.00036425200232770294
Bellman-Ford,Dec,5000,0.5,0.02629224699921906
Dijkstra,Dec,5000,0.5,0.0003719260021171067
Dynamic,Inc,5000,0.5,0.003241119000449544
Dynamic,Dec,5000,0.5,0.003166299000440631
Bellman-Ford,Mixed,5000,0.5,0.029623924998304574
Dijkstra,Mixed,5000,0.5,0.0004910690004180651
Dynamic,Mixed,5000,0.5,0.0035406099996180274
Bellman-Ford,Inc,5000,0.1,0.1313352869983646
Dijkstra,Inc,5000,0.1,0.0018701019980653655
Bellman-Ford,Dec,5000,0.1,0.02455925100002787
Dijkstra,Dec,5000,0.1,0.0003877160015690606
Dynamic,Inc,5000,0.1,0.0038861280008859467
Dynamic,Dec,5000,0.1,0.0009294810006394982
Bellman-Ford,Mixed,5000,0.1,0.15338629100006074
Dijkstra,Mixed,5000,0.1,0.0023329989999183454
Dynamic,Mixed,5000,0.1,0.011404275999666424
Bellman-Ford,Inc,5000,0.2,0.02481584199995268
Dijkstra,Inc,5000,0.2,0.00038006199974915944
Bellman-Ford,Dec,5000,0.2,0.03245809300278779
Dijkstra,Dec,5000,0.2,0.00042013699930976145
Dynamic,Inc,5000,0.2,0.003490215996862389
Dynamic,Dec,5000,0.2,0.01586992900047335
Bellman-Ford,Mixed,5000,0.2,0.07106282699896838
Dijkstra,Mixed,5000,0.2,0.0007496539983549155
Dynamic,Mixed,5000,0.2,0.0017564690024300944
Bellman-Ford,Inc,5000,0.3,0.03991025800132775
Dijkstra,Inc,5000,0.3,0.0004237239991198294
Bellman-Ford,Dec,5000,0.3,0.030767156997171696
Dijkstra,Dec,5000,0.3,0.0004109800029254984
Dynamic,Inc,5000,0.3,0.0034930209985759575
Dynamic,Dec,5000,0.3,0.015475880998565117
Bellman-Ford,Mixed,5000,0.3,0.038438531999418046
Dijkstra,Mixed,5000,0.3,0.0005395410007622559
Dynamic,Mixed,5000,0.3,0.0031745140004204586
Bellman-Ford,Inc,5000,0.4,0.02455782900142367
Dijkstra,Inc,5000,0.4,0.00039632200059713796
Bellman-Ford,Dec,5000,0.4,0.024603473997558467
Dijkstra,Dec,5000,0.4,0.00043508399903657846
Dynamic,Inc,5000,0.4,0.00354042999970261
Dynamic,Dec,5000,0.4,0.0024901130018406548
Bellman-Ford,Mixed,5000,0.4,0.027950412000791403
Dijkstra,Mixed,5000,0.4,0.0003665769982035272
Dynamic,Mixed,5000,0.4,0.002587486000265926
Bellman-Ford,Inc,5000,0.5,0.036494462001428474
Dijkstra,Inc,5000,0.5,0.0004322400018281769
Bellman-Ford,Dec,5000,0.5,0.026805347002664348
Dijkstra,Dec,5000,0.5,0.0004456150018086191
Dynamic,Inc,5000,0.5,0.003102738002780825
Dynamic,Dec,5000,0.5,0.003101679998508189
Bellman-Ford,Mixed,5000,0.5,0.027767147999838926
Dijkstra,Mixed,5000,0.5,0.00038217600013013
Dynamic,Mixed,5000,0.5,0.002731774999119807
Bellman-Ford,Inc,5000,0.1,0.034168244997999864
Dijkstra,Inc,5000,0.1,0.00044813999920734204
Bellman-Ford,Dec,5000,0.1,0.2375850860007631
Dijkstra,Dec,5000,0.1,0.003740113999811001
Dynamic,Inc,5000,0.1,0.02326291400095215
Dynamic,Dec,5000,0.1,0.04109617900030571
Bellman-Ford,Mixed,5000,0.1,0.30067100500309607
Dijkstra,Mixed,5000,0.1,0.004336541001976002
Dynamic,Mixed,5000,0.1,0.02550922000227729
Bellman-Ford,Inc,5000,0.2,0.03372338299959665
